,-34.45312366,-34.10156117,-33.74999867,-33.39843617,-33.04687367,-32.69531117,-32.34374867,-31.99218617,-31.64062367,-31.28906118,-30.93749868,-30.58593618,-30.23437368,-29.88281118,-29.53124868,-29.17968618,-28.82812369,-28.47656119,-28.12499869,-27.77343619,-27.42187369,-27.07031119,-26.71874869,-26.36718619,-26.0156237,-25.6640612,-25.3124987,-24.9609362,-24.6093737,-24.2578112,-23.9062487,-23.5546862,-23.20312371,-22.85156121,-22.49999871,-22.14843621,-21.79687371,-21.44531121,-21.09374871,-20.74218621,-20.39062372,-20.03906122,-19.68749872,-19.33593622,-18.98437372,-18.63281122,-18.28124872,-17.92968623,-17.57812373,-17.22656123,-16.87499873,-16.52343623,-16.17187373,-15.82031123,-15.46874873,-15.11718624,-14.76562374,-14.41406124,-14.06249874,-13.71093624,-13.35937374,-13.00781124,-12.65624874,-12.30468625,-11.95312375,-11.60156125,-11.24999875,-10.89843625,-10.54687375,-10.19531125,-9.843748755,-9.492186256,-9.140623758,-8.789061259,-8.43749876,-8.085936262,-7.734373763,-7.382811264,-7.031248766,-6.679686267,-6.328123768,-5.976561269,-5.624998771,-5.273436272,-4.921873773,-4.570311275,-4.218748776,-3.867186277,-3.515623779,-3.16406128,-2.812498781,-2.460936282,-2.109373784,-1.757811285,-1.406248786,-1.054686288,-0.703123789,-0.35156129,1.21E-06,0.351563707,0.703126206,1.054688705,1.406251203,1.757813702,2.109376201,2.460938699,2.812501198,3.164063697,3.515626195,3.867188694,4.218751193,4.570313692,4.92187619,5.273438689,5.625001188,5.976563686,6.328126185,6.679688684,7.031251182,7.382813681,7.73437618,8.085938679,8.437501177,8.789063676,9.140626175,9.492188673,9.843751172,10.19531367,10.54687617,10.89843867,11.25000117,11.60156367,11.95312616,12.30468866,12.65625116,13.00781366,13.35937616,13.71093866,14.06250116,14.41406366,14.76562615,15.11718865,15.46875115,15.82031365,16.17187615,16.52343865,16.87500115,17.22656364,17.57812614,17.92968864,18.28125114,18.63281364,18.98437614,19.33593864,19.68750114,20.03906363,20.39062613,20.74218863,21.09375113,21.44531363,21.79687613,22.14843863,22.50000113,22.85156362,23.20312612,23.55468862,23.90625112,24.25781362,24.60937612,24.96093862,25.31250111,25.66406361,26.01562611,26.36718861,26.71875111,27.07031361,27.42187611,27.77343861,28.1250011,28.4765636,28.8281261,29.1796886,29.5312511,29.8828136,30.2343761,30.5859386,30.93750109,31.28906359,31.64062609,31.99218859,32.34375109,32.69531359,33.04687609,33.39843858,33.75000108,34.10156358,34.45312608,,,,,,,,,,,,,
2cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002120567,0.033156029,0.05112766,0.054560284,0.054021277,0.053262411,0.052943262,0.052333333,0.052446809,0.052609929,0.052255319,0.053,0.053141844,0.053304965,0.052716312,0.052609929,0.05141844,0.050255319,0.048049645,0.046078014,0.042907802,0.040382979,0.039,0.038758865,0.039099291,0.039886525,0.040531915,0.04090071,0.041262412,0.041574468,0.042184398,0.043340426,0.044290781,0.045198582,0.046184397,0.046787234,0.046985815,0.04709929,0.046723404,0.045460993,0.044092199,0.042276596,0.040297873,0.038652482,0.037914894,0.038078014,0.039368794,0.042021277,0.044652482,0.04677305,0.048361702,0.049780142,0.050666667,0.051326241,0.05212766,0.052283688,0.052638298,0.053503546,0.04983688,0.031255319,0.005177305,0.000765957,0.000390071,0.001148936,0.001141844,0.000382979,0.000382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2.5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222619,0.046952381,0.05514881,0.051714286,0.049273809,0.048511905,0.048375,0.048690476,0.048982143,0.04810119,0.046190476,0.043303572,0.040142857,0.038976191,0.038595238,0.038934524,0.039761905,0.040351191,0.040892857,0.04152381,0.042196429,0.042785715,0.043613096,0.044113096,0.044595239,0.044595239,0.044535715,0.044255953,0.043839286,0.042988096,0.042226191,0.041571429,0.040952381,0.040232143,0.039738095,0.039285714,0.039095238,0.038904762,0.038797619,0.038815476,0.038857143,0.038845238,0.038958333,0.039327381,0.039708334,0.040357143,0.041178572,0.042208334,0.04342262,0.044934524,0.047386905,0.051892857,0.062642857,0.07704762,0.07739881,0.077511905,0.070619048,0.053488095,0.044994048,0.042482143,0.041392858,0.040738095,0.040452381,0.040005953,0.039636905,0.039071429,0.038488095,0.038148809,0.037946428,0.038083333,0.038726191,0.039553572,0.040279762,0.041244048,0.041797619,0.042190477,0.042553572,0.042416667,0.042154762,0.041791667,0.041559524,0.040934524,0.040232143,0.03977381,0.0395,0.039172619,0.038892857,0.038541667,0.038255952,0.037696428,0.03760119,0.038130952,0.040142857,0.044416667,0.048797619,0.052684524,0.055607143,0.049922619,0.016839286,0.000779762,0,0,0,0,0,0,0,0.00047619,0.006190476,0.033505953,0.055464286,0.061535715,0.053607143,0.018845238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025148148,0.060382716,0.067808643,0.068154322,0.06771605,0.066123457,0.063209877,0.057697531,0.048098766,0.043413581,0.042037038,0.041265433,0.041185186,0.041370371,0.04171605,0.041475309,0.040796297,0.039685185,0.039679013,0.039722222,0.040283951,0.040907408,0.041660494,0.042179013,0.042506173,0.04338889,0.044481482,0.045746914,0.047117284,0.048716049,0.049981481,0.051055556,0.052407408,0.054919753,0.05832716,0.061364197,0.064265432,0.066697531,0.068308642,0.069438272,0.070117284,0.070728396,0.071641976,0.073234568,0.076240741,0.079561729,0.082858025,0.088098766,0.096339506,0.096697531,0.096820988,0.092185186,0.082919753,0.077154321,0.073907408,0.071580247,0.069956791,0.068351853,0.066771606,0.065364199,0.063524692,0.061314815,0.059135802,0.055827161,0.053524692,0.051907407,0.050567901,0.049475308,0.048932098,0.048975308,0.049351852,0.050166666,0.051074074,0.052179012,0.052987654,0.052950617,0.051790124,0.049450617,0.042617284,0.039814815,0.039302469,0.039166667,0.040345679,0.041648149,0.043024692,0.045314815,0.048160494,0.051561728,0.053697531,0.055104938,0.056419753,0.057759259,0.059425926,0.061654321,0.063487654,0.064981482,0.066098766,0.066956791,0.06830247,0.070641976,0.075611111,0.093981481,0.120858025,0.132907408,0.126703704,0.103141976,0.06845679,0.029135803,0.003191358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3.5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000417219,0.054953642,0.054953642,0.048728477,0.046960265,0.04602649,0.045748345,0.04570861,0.045986755,0.045569537,0.044754967,0.045384106,0.046556291,0.049701987,0.05205298,0.053774835,0.055013245,0.054728477,0.054350994,0.051860927,0.048827814,0.04805298,0.048125827,0.049225165,0.051516556,0.056761589,0.062271523,0.065509935,0.067417219,0.068443709,0.069337749,0.070794702,0.072350994,0.075019868,0.07765563,0.080165564,0.082185431,0.084774834,0.087291391,0.091205299,0.099013246,0.109357616,0.109556292,0.109529801,0.105874172,0.101145696,0.095629139,0.090615895,0.087701987,0.085642384,0.083887417,0.082278146,0.080642384,0.07902649,0.077158941,0.075198676,0.073423841,0.071649007,0.070105961,0.06894702,0.067801325,0.067377484,0.067092716,0.067384107,0.067483444,0.067589405,0.067086093,0.06568212,0.063503312,0.059145695,0.050423841,0.044569537,0.043350994,0.043317881,0.044258279,0.044774835,0.044880795,0.045092716,0.045271523,0.045496689,0.045741722,0.046715232,0.047900662,0.049437086,0.051350993,0.052450331,0.053880795,0.05489404,0.055986755,0.057794702,0.061364238,0.066423841,0.07368212,0.082509934,0.099337748,0.123569537,0.1317351,0.129980134,0.119198677,0.107450332,0.095264901,0.086059603,0.096033112,0.113304636,0.145503311,0.151596026,0.156344371,0.157509934,0.134649007,0.054834437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
4cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739583,0.029625,0.064901042,0.068078126,0.065781251,0.063328125,0.059666667,0.054677084,0.052692709,0.052375,0.052921875,0.053864584,0.054302084,0.054036459,0.052473959,0.052390625,0.052953125,0.055703125,0.065036459,0.065661459,0.066385417,0.066791667,0.066005209,0.064729167,0.064619792,0.065625,0.066369792,0.070510417,0.079083333,0.083010417,0.085296875,0.086072917,0.085963542,0.08684375,0.087765626,0.089213542,0.091416667,0.093203125,0.095177083,0.09734375,0.101208334,0.110072917,0.124010418,0.126744794,0.126880211,0.12672396,0.122651042,0.117390625,0.1116875,0.105333333,0.100447918,0.09659375,0.093322916,0.091166667,0.089838543,0.088671876,0.087041667,0.085140625,0.083239583,0.081489584,0.080036459,0.079109375,0.078395834,0.077994792,0.077583334,0.076838543,0.075546875,0.072942709,0.058359375,0.044447917,0.043432292,0.043156251,0.044385417,0.04521875,0.046026042,0.046932292,0.047661458,0.048838541,0.050515625,0.052083333,0.054604167,0.055927084,0.057036458,0.0575,0.05790625,0.057901042,0.058947916,0.060755208,0.065260417,0.071135417,0.078015625,0.081510417,0.083848958,0.086385417,0.088697917,0.095432292,0.114807292,0.140255209,0.153119792,0.1611875,0.1664375,0.169348958,0.170999999,0.172489582,0.174130208,0.176906249,0.1795,0.140067708,0.068182292,0.01803125,0.001052083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
4.5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000924419,0.010238372,0.036156977,0.0645,0.070511628,0.069947675,0.067895349,0.065540698,0.063226744,0.059738372,0.056569768,0.055633721,0.055424419,0.055866279,0.056127907,0.055848838,0.05477907,0.053069768,0.053168605,0.053401163,0.053546512,0.053488372,0.055761628,0.056377907,0.057040698,0.066848838,0.070802326,0.074133722,0.079581396,0.096936047,0.102081396,0.102470931,0.102395349,0.099715117,0.099250001,0.099319768,0.100779071,0.102831396,0.105284883,0.109296511,0.113063953,0.120831395,0.123244187,0.123203489,0.122360466,0.11819186,0.116308139,0.115040698,0.113959302,0.113180233,0.111691861,0.106273256,0.094052325,0.084906977,0.081180233,0.07702907,0.067860466,0.063226744,0.060377907,0.054180233,0.047680232,0.046453488,0.046273256,0.046976744,0.04897093,0.050610465,0.051633721,0.052383721,0.052802326,0.053633721,0.054784884,0.056604651,0.058081395,0.05825,0.057686046,0.055168605,0.052965116,0.052447675,0.05283721,0.056093023,0.063017442,0.068110466,0.07161628,0.075052326,0.078424419,0.084005814,0.08825,0.089715116,0.091098837,0.081831395,0.043773256,0.021017442,0.017052326,0.011953488,0.012040698,0.010598837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001515556,0.009786667,0.052413334,0.074502223,0.075555556,0.073866667,0.072368889,0.070537778,0.068920001,0.06600889,0.063551112,0.061111111,0.058853333,0.05696,0.056657778,0.055208889,0.054466667,0.053542223,0.051386667,0.050755555,0.050168889,0.050088889,0.05008,0.050382222,0.051195556,0.052995556,0.062053333,0.07496,0.080844444,0.084288889,0.08732,0.089853334,0.093675556,0.09872,0.108026666,0.114964444,0.119284444,0.123520001,0.132115555,0.145684444,0.149093333,0.150537776,0.150879998,0.149862222,0.14768,0.141462222,0.134933335,0.12964,0.123720001,0.112484445,0.106026666,0.10404,0.102102223,0.100346667,0.095395555,0.090244445,0.086448889,0.082795556,0.072008889,0.050435555,0.048515555,0.047791111,0.047684444,0.047995555,0.048702222,0.049773333,0.050875555,0.052311111,0.054026667,0.056773333,0.059902222,0.061186667,0.061844445,0.059897778,0.058702222,0.058266666,0.057648889,0.05668,0.055751111,0.054697778,0.053751111,0.05388,0.055328889,0.060364445,0.072546667,0.08128,0.090973334,0.097684444,0.099813333,0.102284445,0.104168889,0.104457778,0.073448889,0.031666667,0.003546667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001171598,0.006307692,0.016550296,0.046792899,0.070485207,0.057544379,0.060071006,0.081822485,0.079591716,0.07508284,0.070431953,0.06091716,0.065414201,0.06443787,0.084692308,0.083502959,0.083023669,0.084041421,0.084798817,0.084260355,0.084207101,0.084940829,0.086106509,0.089254438,0.092639054,0.096325444,0.091804734,0.094698225,0.087751479,0.09087574,0.093994083,0.092662722,0.091550296,0.090704142,0.089307692,0.081852071,0.090218935,0.089591716,0.087644971,0.085662722,0.083076923,0.08043787,0.076674557,0.074609468,0.072171598,0.069201184,0.06831361,0.065349113,0.064041421,0.063307693,0.063502959,0.063088758,0.063177515,0.063384616,0.063147929,0.063485208,0.064715976,0.066153846,0.073360947,0.073360947,0.073372781,0.062662722,0.061272189,0.060763313,0.061384615,0.063236687,0.068964498,0.075532545,0.08235503,0.091621302,0.108857988,0.130485207,0.146792899,0.152840236,0.159923078,0.166266272,0.175224852,0.195597633,0.195538461,0.196029585,0.188988165,0.177757397,0.174431952,0.172071005,0.171372781,0.167875738,0.163928995,0.161266273,0.149544378,0.133562131,0.127887576,0.125792901,0.123183433,0.115278107,0.107426035,0.08835503,0.070603551,0.06610651,0.062816568,0.060153846,0.059112425,0.05833136,0.058502958,0.059130177,0.062254438,0.079343196,0.079715977,0.079715977,0.074573965,0.065000001,0.062668639,0.061284024,0.060781065,0.060928994,0.061940828,0.063514793,0.065017752,0.066106509,0.067615385,0.069343196,0.073000001,0.07727219,0.081692308,0.084656805,0.087485208,0.089621302,0.093343195,0.088514793,0.005153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
7cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017338583,0.092448819,0.094858268,0.094062992,0.094897638,0.093440946,0.094401575,0.094055119,0.093275591,0.093456693,0.093307087,0.092314961,0.091062993,0.088637796,0.083590551,0.079338583,0.078559055,0.07688189,0.076393701,0.075826772,0.074141733,0.074267717,0.07544882,0.084629922,0.089708661,0.092488189,0.092874016,0.093330709,0.092480315,0.091204724,0.090944882,0.090496063,0.090346457,0.090874016,0.089755906,0.087519685,0.08476378,0.081503937,0.07807874,0.075157481,0.072874016,0.071086614,0.069881891,0.070299213,0.069905513,0.069196851,0.069000001,0.068055119,0.066480316,0.064338583,0.063496064,0.063220473,0.063251969,0.064133859,0.065929134,0.068196851,0.079409449,0.080362205,0.083527559,0.085094488,0.083110236,0.083527559,0.08611811,0.087259843,0.09372441,0.102251968,0.111708661,0.125519686,0.145582677,0.179779529,0.207370079,0.212779526,0.231259841,0.235535432,0.23162992,0.224370078,0.224464567,0.220220472,0.217527557,0.213220472,0.196929133,0.190039369,0.184582677,0.175566928,0.163503938,0.141724411,0.12964567,0.115787401,0.097779528,0.087149607,0.082779528,0.08072441,0.078677166,0.076952756,0.075149607,0.073425197,0.072559055,0.070929134,0.068472441,0.066464568,0.064976379,0.064653544,0.064771654,0.066314961,0.067937008,0.069629922,0.070795276,0.071125985,0.071338583,0.071181103,0.070307087,0.07064567,0.07196063,0.075118111,0.078385827,0.081133858,0.083393701,0.085503938,0.089031497,0.088866142,0.063685039,0.028740157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
