,-34.45312366,-34.10156117,-33.74999867,-33.39843617,-33.04687367,-32.69531117,-32.34374867,-31.99218617,-31.64062367,-31.28906118,-30.93749868,-30.58593618,-30.23437368,-29.88281118,-29.53124868,-29.17968618,-28.82812369,-28.47656119,-28.12499869,-27.77343619,-27.42187369,-27.07031119,-26.71874869,-26.36718619,-26.0156237,-25.6640612,-25.3124987,-24.9609362,-24.6093737,-24.2578112,-23.9062487,-23.5546862,-23.20312371,-22.85156121,-22.49999871,-22.14843621,-21.79687371,-21.44531121,-21.09374871,-20.74218621,-20.39062372,-20.03906122,-19.68749872,-19.33593622,-18.98437372,-18.63281122,-18.28124872,-17.92968623,-17.57812373,-17.22656123,-16.87499873,-16.52343623,-16.17187373,-15.82031123,-15.46874873,-15.11718624,-14.76562374,-14.41406124,-14.06249874,-13.71093624,-13.35937374,-13.00781124,-12.65624874,-12.30468625,-11.95312375,-11.60156125,-11.24999875,-10.89843625,-10.54687375,-10.19531125,-9.843748755,-9.492186256,-9.140623758,-8.789061259,-8.43749876,-8.085936262,-7.734373763,-7.382811264,-7.031248766,-6.679686267,-6.328123768,-5.976561269,-5.624998771,-5.273436272,-4.921873773,-4.570311275,-4.218748776,-3.867186277,-3.515623779,-3.16406128,-2.812498781,-2.460936282,-2.109373784,-1.757811285,-1.406248786,-1.054686288,-0.703123789,-0.35156129,1.21E-06,0.351563707,0.703126206,1.054688705,1.406251203,1.757813702,2.109376201,2.460938699,2.812501198,3.164063697,3.515626195,3.867188694,4.218751193,4.570313692,4.92187619,5.273438689,5.625001188,5.976563686,6.328126185,6.679688684,7.031251182,7.382813681,7.73437618,8.085938679,8.437501177,8.789063676,9.140626175,9.492188673,9.843751172,10.19531367,10.54687617,10.89843867,11.25000117,11.60156367,11.95312616,12.30468866,12.65625116,13.00781366,13.35937616,13.71093866,14.06250116,14.41406366,14.76562615,15.11718865,15.46875115,15.82031365,16.17187615,16.52343865,16.87500115,17.22656364,17.57812614,17.92968864,18.28125114,18.63281364,18.98437614,19.33593864,19.68750114,20.03906363,20.39062613,20.74218863,21.09375113,21.44531363,21.79687613,22.14843863,22.50000113,22.85156362,23.20312612,23.55468862,23.90625112,24.25781362,24.60937612,24.96093862,25.31250111,25.66406361,26.01562611,26.36718861,26.71875111,27.07031361,27.42187611,27.77343861,28.1250011,28.4765636,28.8281261,29.1796886,29.5312511,29.8828136,30.2343761,30.5859386,30.93750109,31.28906359,31.64062609,31.99218859,32.34375109,32.69531359,33.04687609,33.39843858,33.75000108,34.10156358,34.45312608
2cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02528116,0.003740263,0.001832156,0.001669582,0.001488452,0.00136111,0.001248507,0.001132921,0.001215826,0.001168662,0.001274568,0.001330617,0.001339347,0.00120594,0.001222818,0.001209994,0.001210144,0.001335957,0.001402105,0.001380693,0.001329731,0.001398381,0.001334293,0.001457917,0.001504362,0.001507163,0.001470985,0.00139302,0.001386952,0.001449151,0.001378721,0.001333885,0.001422654,0.001340701,0.00126094,0.001326829,0.001200966,0.001280815,0.001255173,0.001205864,0.001193352,0.001143162,0.001224448,0.001245161,0.001141852,0.000973203,0.001029406,0.001004434,0.000996638,0.001047398,0.001037042,0.001041841,0.001097298,0.001043668,0.001088168,0.001111872,0.001109013,0.001031738,0.00108675,0.001163295,0.001206164,0.001209693,0.001181704,0.001169166,0.001120606,0.001062785,0.001121577,0.001162047,0.001053313,0.00098901,0.001097298,0.001009927,0.001039227,0.001059622,0.000970169,0.000975204,0.000998184,0.000934067,0.000927295,0.000877753,0.000990614,0.001014094,0.001012931,0.001002581,0.001075593,0.000936492,0.001000589,0.000998456,0.001017487,0.000976459,0.00096285,0.000973855,0.001005201,0.001059494,0.001078372,0.00114803,0.001150477,0.001270755,0.001203153,0.001137914,0.00111232,0.001045057,0.000997366,0.001024858,0.000930663,0.00101199,0.000853551,0.000877133,0.000925189,0.000970216,0.00101539,0.000969889,0.000992535,0.00096087,0.000918845,0.000916077,0.000987221,0.001061461,0.001026318,0.000996593,0.000957087,0.001021978,0.000998956,0.00108462,0.00103288,0.001066405,0.001156727,0.001174429,0.001197865,0.001278369,0.001157237,0.001197525,0.001253871,0.001150084,0.001159547,0.001224078,0.00119654,0.001262701,0.001430378,0.001574615,0.001436831,0.00129069,0.001469874,0.001302929,0.001205375,0.001033801,0.001007274,0.001022377,0.001029097,0.001015658,0.000936831,0.001034153,0.001009343,0.000992535,0.000988139,0.000947228,0.000986255,0.001044146,0.001002264,0.001081354,0.00097539,0.0009612,0.001013333,0.00098722,0.001017531,0.000970357,0.000986394,0.001005291,0.001108359,0.001183277,0.001361909,0.001598425,0.001664113,0.00159692,0.001509118,0.001513978,0.001387834,0.001317844,0.001357374,0
2.5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004057514,0.021430023,0.01079984,0.003342045,0.002029898,0.001493957,0.001169952,0.001283332,0.001324323,0.00126276,0.001440961,0.001477541,0.001516316,0.001554338,0.001459891,0.001478217,0.001410723,0.001346035,0.001359434,0.001409163,0.001338837,0.001249924,0.001147696,0.001194137,0.001182303,0.001035167,0.000941158,0.000899893,0.000907195,0.000980687,0.000936473,0.000922925,0.000968378,0.001002662,0.000877169,0.00095249,0.000969617,0.001004787,0.001230039,0.001276616,0.00129053,0.001223575,0.001309089,0.001114048,0.001287842,0.001377887,0.001375128,0.001575121,0.001671192,0.001671232,0.001575164,0.001652102,0.001496809,0.001468357,0.001711071,0.001747945,0.001795228,0.001675851,0.001803894,0.001843793,0.001857082,0.001854784,0.002092649,0.002092076,0.00222998,0.002413974,0.002320053,0.002246445,0.002097993,0.002278697,0.002251778,0.002239046,0.002302407,0.002124413,0.002299309,0.002187896,0.002198136,0.00234417,0.002119104,0.002042955,0.002044715,0.00209214,0.002026447,0.002025855,0.002062046,0.001996431,0.002269083,0.002432728,0.002243922,0.002260521,0.002182345,0.002187195,0.002118067,0.002011496,0.002095895,0.002196741,0.002065598,0.002054243,0.001853059,0.001696285,0.001812407,0.001853598,0.001880475,0.001951634,0.001906589,0.001830954,0.001793669,0.001782675,0.001842491,0.001761389,0.001792851,0.001711382,0.001916211,0.002173348,0.002096054,0.002206488,0.002244308,0.002021575,0.001788534,0.001846935,0.001854712,0.002103861,0.002152521,0.002183901,0.00225825,0.002281064,0.002322407,0.00208758,0.002185366,0.002329713,0.002234846,0.002258074,0.002542745,0.002306081,0.002371137,0.00240421,0.002521903,0.002512133,0.002281911,0.002288473,0.001990281,0.001839452,0.002052328,0.001911825,0.001835063,0.001957805,0.001957465,0.001786372,0.001675533,0.001770108,0.001966771,0.002013582,0.002426392,0.002566196,0.00246684,0.001949482,0.001806551,0.001636417,0.001531534,0.001373916,0.001243831,0.001275885,0.001273847,0.001140123,0.001251202,0.001384546,0.001003792,0.001040048,0.000969204,0.001008163,0.000998466,0.001138544,0.001285097,0.001326284,0.001425525,0.001408311,0.001389255,0.00152285,0.001647133,0.00175942,0.002016855,0
3cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017190813,0.019958555,0.007422817,0.003076109,0.002867471,0.002896091,0.002760757,0.002738449,0.002918877,0.002954105,0.002975383,0.001830617,0.001458674,0.001152537,0.001130022,0.001097277,0.001302953,0.001323456,0.001324384,0.001227634,0.001318468,0.001277268,0.001405721,0.001406057,0.00146541,0.001434642,0.001253281,0.00131373,0.001247766,0.00118758,0.001076327,0.000969078,0.000915618,0.000869251,0.000924756,0.000909614,0.000938748,0.000998251,0.00099657,0.00095553,0.001107453,0.000960928,0.000999575,0.001096135,0.001162312,0.001234598,0.001237502,0.001401193,0.001481168,0.001454084,0.001493064,0.001410351,0.001445548,0.001436435,0.001391061,0.001413679,0.001521131,0.001579705,0.001841063,0.001974243,0.001831235,0.001880474,0.001872621,0.002069791,0.002359886,0.002570214,0.002445021,0.002128023,0.001983505,0.00203694,0.001880361,0.002022324,0.002191289,0.00246824,0.002623429,0.002782945,0.002602904,0.002281469,0.002124836,0.002097438,0.002211278,0.002222103,0.002172052,0.002181047,0.002189251,0.002358444,0.002116237,0.002124035,0.002105047,0.001877847,0.001789066,0.001843217,0.001750754,0.001816122,0.001757311,0.001703937,0.001740023,0.001635474,0.001657849,0.001681093,0.001721848,0.001802271,0.001712054,0.001710356,0.001707426,0.001527716,0.001445466,0.001620152,0.001782413,0.001632872,0.001779694,0.001762585,0.001903791,0.002147996,0.002461772,0.0024938,0.002238042,0.001980502,0.001765518,0.001768258,0.00192387,0.002176147,0.002047615,0.002079173,0.002155691,0.002234917,0.0022471,0.002195596,0.002312603,0.002359115,0.002646376,0.00271172,0.002583622,0.0025569,0.002641632,0.002659383,0.002436777,0.002585788,0.002506524,0.00245293,0.002320312,0.00185228,0.001803175,0.001860054,0.001842961,0.001578911,0.001710024,0.001953848,0.002272964,0.002279657,0.001973993,0.001804694,0.00161548,0.00110805,0.001168008,0.001110265,0.001043775,0.001016817,0.001056214,0.001055409,0.001156445,0.001443782,0.001552498,0.001410016,0.00131085,0.001332721,0.00136118,0.001616752,0.001683844,0.001729895,0.001933337,0.001850137,0.001808773,0.001762304,0.001684967,0.001792073,0.001712343,0.00184753,0.001913197,0.001826898,0
3.5cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475,0.022568617,0.030666743,0.019408101,0.00805136,0.003878396,0.003266692,0.002936256,0.002955248,0.003229622,0.002585597,0.002148243,0.001849513,0.001642955,0.001633885,0.001527271,0.001477624,0.001450809,0.001326597,0.001295501,0.001132963,0.001215591,0.001204091,0.001189483,0.001120876,0.001205321,0.001182112,0.001062696,0.001128131,0.001029834,0.00112185,0.00095872,0.000998031,0.001042768,0.000974993,0.000985299,0.000891883,0.000923239,0.001063998,0.001052779,0.001002304,0.001075167,0.00111305,0.001213251,0.001284583,0.001165729,0.001262524,0.001306177,0.00150367,0.001652798,0.001583655,0.001581999,0.001502766,0.001642896,0.001705549,0.001868634,0.001828081,0.001804714,0.001736083,0.001810302,0.001960554,0.002167384,0.00242398,0.002231372,0.002110568,0.002310242,0.002286568,0.002519071,0.002190607,0.002177041,0.001998822,0.001940049,0.002040658,0.002151191,0.002369147,0.002607107,0.002529047,0.002624522,0.002622855,0.002299243,0.002127618,0.002414948,0.002289762,0.002207644,0.00238972,0.002469305,0.00282719,0.002938339,0.002831687,0.002668124,0.002315785,0.002124706,0.001922334,0.00183051,0.00186697,0.001773924,0.001688608,0.001852779,0.001991629,0.001784405,0.001812876,0.001761189,0.001993762,0.001992982,0.00198244,0.001869881,0.001652371,0.001689126,0.001745234,0.001808732,0.001712638,0.001583333,0.001886326,0.002007948,0.002310241,0.002287045,0.002378353,0.0023201,0.001953569,0.001695654,0.001688077,0.001875289,0.002074644,0.002202589,0.002308391,0.002426503,0.002369516,0.002563869,0.002671315,0.002652268,0.002562808,0.002600197,0.00245361,0.002684372,0.002601625,0.002557801,0.002599833,0.002609491,0.002645669,0.002555636,0.002471035,0.002162359,0.001956984,0.001914194,0.001956203,0.001684462,0.00140864,0.001389113,0.001653547,0.001608483,0.001688997,0.001300589,0.001049661,0.00111305,0.001078842,0.001099552,0.001056945,0.001037656,0.001112198,0.00122139,0.001389672,0.001207313,0.001222602,0.001308907,0.001440327,0.001454569,0.001704908,0.001576571,0.001663035,0.001689069,0.001725084,0.001995028,0.001874666,0.001958175,0.002259402,0.002364007,0.002125254,0.001974585,0.002199412,0.002018261,0.001984204,0
4cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010527808,0.018131299,0.003742601,0.003411883,0.003172105,0.003157722,0.003120675,0.002913011,0.003048402,0.00270176,0.00281921,0.002981949,0.002763293,0.002779143,0.002432728,0.001982628,0.001959018,0.001619138,0.001589193,0.001553704,0.001549549,0.001405811,0.00141571,0.00143417,0.001332826,0.001450534,0.001429969,0.001533001,0.00162557,0.001867363,0.001538357,0.001610718,0.001555146,0.001180827,0.001061925,0.00102249,0.001050504,0.001068983,0.001091093,0.001136562,0.001134697,0.001346003,0.001599705,0.001496548,0.001322563,0.00132017,0.001280778,0.001517,0.001759426,0.001773622,0.001882767,0.00176804,0.001723114,0.00166427,0.001755811,0.00167453,0.001795654,0.001884495,0.001907805,0.001915367,0.001939746,0.00196665,0.001971404,0.002071719,0.00225124,0.002338616,0.002292085,0.002274799,0.002053266,0.002007353,0.00197728,0.00195977,0.002020217,0.002165696,0.002371407,0.002460305,0.002536014,0.002754549,0.002783226,0.002811622,0.002758479,0.00259295,0.002466286,0.002520791,0.002496947,0.002477981,0.0024759,0.002458945,0.002650967,0.002546836,0.002500362,0.002372197,0.002158243,0.001898725,0.001869959,0.001909316,0.001916953,0.001889732,0.001778374,0.001794952,0.001718601,0.001616919,0.001771769,0.001946948,0.002163682,0.002350633,0.002228864,0.001982721,0.001714327,0.001550401,0.001493345,0.001543138,0.001780651,0.001919673,0.001977389,0.001992373,0.002686551,0.002941083,0.002995536,0.002814928,0.002353869,0.001964885,0.001999125,0.002163157,0.002417249,0.002294895,0.002356996,0.002574918,0.002822865,0.002665838,0.002843525,0.002720824,0.002840079,0.002895478,0.002894513,0.00297202,0.002799818,0.002577706,0.002903048,0.002666299,0.002303959,0.002149207,0.00187314,0.002001273,0.002044231,0.00202163,0.001800553,0.001600721,0.001243226,0.001011565,0.001059407,0.001042321,0.001056797,0.001035911,0.000990718,0.001015745,0.001086753,0.001022911,0.001078474,0.001197834,0.001240705,0.001333494,0.001427047,0.001541885,0.001627967,0.001766165,0.001779479,0.001939651,0.001850588,0.001883843,0.00207397,0.002133008,0.002124386,0.002030416,0.002080972,0.002164122,0.002280728,0.002592251,0.002369478,0.002221953,0.002133037,0.0020141,0.002059505,0
4.5cm,0,0,0,0,0,0,0,0,0.005979279,0.030050161,0.03040966,0.012132968,0.008985415,0.017434195,0.033078824,0.035034725,0.03412496,0.027012804,0.004174172,0.003334144,0.002573499,0.002232485,0.002018029,0.001864019,0.001931292,0.002008139,0.002103116,0.001972762,0.001857294,0.001730646,0.001660403,0.001592281,0.001551481,0.001642613,0.001591517,0.001505444,0.001610848,0.001636247,0.001605367,0.001651471,0.001797358,0.001692764,0.001734944,0.001662203,0.001692854,0.001465407,0.001294521,0.001228503,0.001222509,0.00130551,0.001297687,0.001373693,0.001166659,0.001210307,0.001352172,0.001679334,0.001483889,0.001357892,0.001339752,0.001384273,0.001368372,0.001516308,0.001645232,0.00164557,0.001562413,0.001621755,0.001651654,0.001509074,0.001534243,0.001618504,0.001757255,0.001928457,0.001968161,0.002118405,0.001850901,0.001921642,0.002012977,0.002228716,0.00245385,0.002427865,0.002374019,0.002198945,0.002015919,0.00203109,0.002056152,0.002288224,0.002391411,0.002320518,0.002349826,0.002646,0.002755891,0.002846228,0.002819134,0.002349373,0.002249305,0.002335532,0.00257344,0.002815556,0.002914451,0.002898136,0.002844786,0.003128747,0.003156714,0.003063826,0.00275418,0.002293531,0.001919267,0.001629888,0.002008568,0.002113305,0.001887113,0.001692495,0.001810669,0.001849779,0.00164289,0.001789732,0.001878072,0.001930505,0.002270533,0.002422936,0.002625338,0.001962129,0.001984233,0.001932786,0.002240301,0.002194841,0.001919188,0.001836973,0.002165377,0.002554572,0.002763417,0.002699094,0.002417514,0.001955301,0.001754485,0.001861164,0.002082517,0.002086794,0.002265529,0.002530082,0.002727269,0.00326355,0.003080135,0.002846637,0.002903532,0.002785874,0.002725949,0.002713133,0.002904212,0.002941682,0.003239261,0.002543263,0.002178112,0.002035948,0.001914192,0.001690039,0.001674712,0.001441708,0.001284386,0.001227513,0.001171902,0.001072215,0.001026597,0.001117875,0.001292485,0.001344394,0.00127675,0.001256634,0.001262907,0.001309694,0.001277464,0.00120498,0.00122056,0.001379213,0.001584116,0.001574203,0.00156277,0.001649659,0.002030616,0.001989257,0.001973174,0.002104417,0.001985306,0.001882651,0.002092492,0.002109635,0.002123182,0.002392067,0.002230011,0.002363025,0.002368871,0.002359357,0.002049044,0.002062769,0.002254097,0.002086795,0
5cm,0,0,0,0,0,0,0,0,0,0,0.023745627,0.019814578,0.003589563,0.003030815,0.003008256,0.003314073,0.003384618,0.003216175,0.003249659,0.002888255,0.002847367,0.002820596,0.002720263,0.002883698,0.00301097,0.002857706,0.002529872,0.002007777,0.001744295,0.001700982,0.001613205,0.001610996,0.001642849,0.001659089,0.001552003,0.001430121,0.001560671,0.001552273,0.001468222,0.001521884,0.001623482,0.00144507,0.001384879,0.001278615,0.001223529,0.001187033,0.001043141,0.00099979,0.000991374,0.001089347,0.001347778,0.001837514,0.002242279,0.001870728,0.001712519,0.00176067,0.001585386,0.001528065,0.001488344,0.001535176,0.001581947,0.001685667,0.001974641,0.001907848,0.001900698,0.00169333,0.001506167,0.00164784,0.001782873,0.001882204,0.001951056,0.001929855,0.00182617,0.001958364,0.00176554,0.001945163,0.002145425,0.002289299,0.002608147,0.002612496,0.002332266,0.002093579,0.0020938,0.001953846,0.002157245,0.002148255,0.002089533,0.002472166,0.002389019,0.002648473,0.002881183,0.002968667,0.002972052,0.002898261,0.002611838,0.002410127,0.002744458,0.002836074,0.002742503,0.002755092,0.002876118,0.002957484,0.003157279,0.003192051,0.002922229,0.002260571,0.001937805,0.001904441,0.002048674,0.002097298,0.002092378,0.002018702,0.001922896,0.001788738,0.001713277,0.001786652,0.00184241,0.00208546,0.002207824,0.002331422,0.002465854,0.00216438,0.001795516,0.001974873,0.002447659,0.002344806,0.00212703,0.00206503,0.002260144,0.002705299,0.003153429,0.003125459,0.002943227,0.002147903,0.001948284,0.001820103,0.00189248,0.002092778,0.002256266,0.002518602,0.002728812,0.003002401,0.003146007,0.002848985,0.003006459,0.003064152,0.003052439,0.00327291,0.003079344,0.002762078,0.002523505,0.002342358,0.002278293,0.001941046,0.001911599,0.001652029,0.001587234,0.001442139,0.001384212,0.001433105,0.001397466,0.001376838,0.001329848,0.001173046,0.001243265,0.001197855,0.001067751,0.001130119,0.001055042,0.00112674,0.001275334,0.001335915,0.001430999,0.001425808,0.001512882,0.00172963,0.001746311,0.001813971,0.001894627,0.001848402,0.001714108,0.001813994,0.001795283,0.002018723,0.002088771,0.002791497,0.002227395,0.002092278,0.00205867,0.002202124,0.002302655,0.002226869,0.00206233,0.002045297,0.001955045,0.001959946,0
6cm,0,0,0,0,0,0,0,0,0,0.019704776,0.004133434,0.003749353,0.003651965,0.003455803,0.00360356,0.003570818,0.003503315,0.003568028,0.003204791,0.003346746,0.003476253,0.003782828,0.003576954,0.003929066,0.004093287,0.002856979,0.002191947,0.001844585,0.00184018,0.001713436,0.001690162,0.001637346,0.001658687,0.001772929,0.001753617,0.001696616,0.001608069,0.001664137,0.001770099,0.001707468,0.001708798,0.001746114,0.001455097,0.001383423,0.001375106,0.001371087,0.001302576,0.001279609,0.001289354,0.001403177,0.001318786,0.001366,0.001382484,0.001407412,0.001572847,0.001697637,0.001839965,0.001800789,0.001665221,0.001771383,0.002161955,0.002107425,0.002265509,0.0029612,0.002487484,0.002350516,0.002245598,0.001929423,0.001922643,0.00205971,0.002081764,0.002023792,0.002073656,0.002222833,0.002005115,0.002070958,0.002276801,0.002584284,0.002876269,0.002888433,0.002757129,0.002329675,0.002177285,0.00209079,0.002091928,0.002058343,0.001975226,0.001978638,0.002046849,0.002482126,0.00283575,0.002810528,0.002680265,0.002507042,0.002307895,0.002217731,0.002507013,0.002626251,0.002695083,0.003019416,0.003021267,0.003035074,0.00323709,0.00308302,0.002836221,0.002331888,0.002003964,0.001798584,0.002000722,0.002045034,0.002093789,0.001988876,0.001964826,0.002051533,0.002070454,0.002080898,0.002393025,0.002518985,0.002508394,0.002384554,0.002347399,0.002199816,0.001993768,0.002211656,0.002278337,0.002172425,0.002169368,0.002314108,0.002575685,0.0031887,0.003346153,0.003283636,0.003058929,0.002282845,0.001974569,0.001882045,0.001886983,0.002201339,0.002359813,0.002420811,0.002853075,0.002886335,0.003148663,0.003379097,0.003825735,0.003833223,0.003474676,0.003180908,0.003195085,0.002975042,0.002704063,0.002732752,0.002633014,0.00264616,0.002666624,0.002302137,0.002186312,0.002175578,0.001886047,0.001705692,0.001457252,0.001399521,0.001363039,0.00156853,0.001567241,0.001551465,0.001591996,0.001565722,0.00145279,0.001453783,0.001359542,0.00125309,0.00135638,0.001436509,0.001560829,0.001634104,0.001894139,0.001745763,0.001751065,0.001665589,0.001675242,0.002029346,0.001890689,0.001799907,0.001810119,0.001871262,0.001913899,0.001969246,0.00195734,0.001864116,0.001974058,0.002107578,0.00236021,0.002127492,0.00221778,0.002234325,0
8cm,0.002757135,0.002854252,0.00271489,0.002668751,0.002683326,0.002730662,0.002982582,0.003228624,0.003820997,0.003707518,0.003652019,0.003204818,0.00342832,0.003712363,0.004324018,0.004776116,0.002939992,0.002523522,0.002178596,0.00222022,0.0021168,0.002036358,0.002008452,0.001722728,0.001743612,0.001852962,0.001967904,0.00170996,0.001578036,0.001517098,0.001678509,0.001639203,0.001638452,0.001653591,0.00162126,0.001619163,0.001859144,0.001711745,0.00157385,0.001611664,0.001648342,0.001521734,0.001464677,0.001357682,0.001500255,0.001473426,0.001421196,0.001610961,0.001573881,0.001472523,0.001303081,0.001306628,0.001346755,0.001388241,0.001402605,0.001627172,0.001815237,0.002417536,0.002843673,0.002624578,0.00245423,0.002388455,0.002675441,0.003516309,0.003786143,0.004843498,0.002904671,0.002413642,0.002305275,0.002496467,0.002793211,0.002541336,0.002474354,0.002601831,0.002326539,0.002402783,0.002358306,0.002513472,0.002737884,0.002798847,0.00280087,0.002687415,0.002672328,0.002755884,0.002633718,0.002532639,0.002157973,0.00236129,0.002333619,0.002709352,0.003016076,0.003054658,0.002999178,0.003114717,0.002652722,0.002981937,0.003211403,0.003424856,0.003216506,0.003073031,0.003159941,0.003362442,0.003488383,0.003417702,0.002865978,0.002305745,0.00226467,0.002200749,0.002346583,0.002164036,0.002559371,0.002935248,0.003205339,0.002690272,0.00255311,0.002712531,0.00310723,0.003079897,0.002779213,0.00289225,0.00257856,0.002279042,0.001917433,0.001779675,0.001977341,0.00236968,0.002473797,0.002616516,0.002617927,0.00341675,0.003542164,0.003555694,0.003243598,0.002547876,0.002307601,0.002011955,0.002318481,0.002943207,0.003148246,0.00301482,0.003132376,0.003369787,0.003381705,0.003354539,0.003677014,0.002920732,0.002480099,0.002269992,0.002253072,0.002256173,0.002092723,0.001937108,0.001807597,0.00175877,0.001650043,0.001619163,0.001572879,0.001561598,0.001501665,0.001533242,0.001433375,0.001607839,0.001321246,0.001455468,0.001385222,0.001406671,0.001419115,0.001516643,0.001562796,0.001595232,0.001600717,0.001641905,0.001610869,0.001746181,0.001720697,0.001572816,0.001539749,0.001491068,0.001374981,0.001279628,0.001185453,0.001318372,0.001705923,0.001812821,0.001733954,0.002051201,0.002070628,0.001851793,0.001992353,0.002108152,0.00205012,0.002263277,0.002595957,0.002857665,0.003883611,0.005665092,0
